Behörde,Delikt,Monat,bekanntgewordene Fälle,davon Versuche,Aufklärungsquote in %
Nordrhein-Westfalen,Einbruchdelikte,Oktober 2019,5717,2376,13.85
Nordrhein-Westfalen,Einbruchdelikte,September 2019,4353,1834,14.59
Nordrhein-Westfalen,Einbruchdelikte,August 2019,4969,2019,13.38
Nordrhein-Westfalen,Einbruchdelikte,Juli 2019,5752,2266,15.49
Nordrhein-Westfalen,Einbruchdelikte,Juni 2019,4320,1709,15.14
Nordrhein-Westfalen,Einbruchdelikte,Mai 2019,5835,2427,14
Nordrhein-Westfalen,Einbruchdelikte,April 2019,5636,2373,13.47
Nordrhein-Westfalen,Einbruchdelikte,März 2019,6282,2513,12.59
Nordrhein-Westfalen,Einbruchdelikte,Februar 2019,7340,3004,10.95
Nordrhein-Westfalen,Einbruchdelikte,Januar 2019,6591,2705,8.68
Nordrhein-Westfalen,Einbruchdelikte,Dezember 2018,5465,2226,16.18
Nordrhein-Westfalen,Einbruchdelikte,November 2018,6103,2579,13.88
Nordrhein-Westfalen,Einbruchdelikte,Oktober 2018,5305,2231,14.08
Nordrhein-Westfalen,Einbruchdelikte,Oktober 2014,9158,3729,19.73
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Oktober 2019,2023,1010,16.66
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,September 2019,1597,828,17.91
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,August 2019,1678,832,20.8
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Juli 2019,1990,971,21.91
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Juni 2019,1450,742,22.14
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Mai 2019,2129,1017,17.47
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,April 2019,2261,1118,16.28
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,März 2019,2791,1214,13.11
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Februar 2019,3452,1513,10.2
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Januar 2019,2828,1242,10.64
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Dezember 2018,2557,1121,18.34
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,November 2018,2427,1212,17.68
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Oktober 2018,1805,916,18.73
Nordrhein-Westfalen,Wohnungseinbruchdiebstahl,Oktober 2014,4108,1814,14.41
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Oktober 2019,656,292,19.66
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,September 2019,442,190,21.27
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,August 2019,501,211,24.35
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Juli 2019,658,258,26.9
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Juni 2019,461,217,26.03
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Mai 2019,717,290,18.97
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,April 2019,824,356,17.96
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,März 2019,1165,430,14.42
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Februar 2019,1509,555,10.27
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Januar 2019,1228,463,10.5
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Dezember 2018,1027,409,17.53
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,November 2018,886,397,15.58
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Oktober 2018,558,255,22.58
Nordrhein-Westfalen,Tageswohnungs-einbruchdiebstahl,Oktober 2014,1646,610,14.76
Nordrhein-Westfalen,Delikte der Straßenkriminalität,Oktober 2019,27657,1540,15.8
Nordrhein-Westfalen,Delikte der Straßenkriminalität,September 2019,22601,1278,16.89
Nordrhein-Westfalen,Delikte der Straßenkriminalität,August 2019,26534,1519,16.12
Nordrhein-Westfalen,Delikte der Straßenkriminalität,Juli 2019,31564,1735,16.75
Nordrhein-Westfalen,Delikte der Straßenkriminalität,Juni 2019,22389,1123,15.17
Nordrhein-Westfalen,Delikte der Straßenkriminalität,Mai 2019,25655,1523,16.29
Nordrhein-Westfalen,Delikte der Straßenkriminalität,April 2019,23388,1351,15.49
Nordrhein-Westfalen,Delikte der Straßenkriminalität,März 2019,23905,1423,15.86
Nordrhein-Westfalen,Delikte der Straßenkriminalität,Februar 2019,23692,1479,17.44
Nordrhein-Westfalen,Delikte der Straßenkriminalität,Januar 2019,24530,1467,13.8
Nordrhein-Westfalen,Delikte der Straßenkriminalität,Dezember 2018,21130,1290,17.55
Nordrhein-Westfalen,Delikte der Straßenkriminalität,November 2018,28578,1779,17.04
Nordrhein-Westfalen,Delikte der Straßenkriminalität,Oktober 2018,29844,1696,15.41
Nordrhein-Westfalen,Delikte der Straßenkriminalität,Oktober 2014,35193,2294,13.93
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Oktober 2019,217,27,82.49
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),September 2019,164,21,80.49
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),August 2019,189,24,80.42
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Juli 2019,234,26,85.9
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Juni 2019,197,25,86.8
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Mai 2019,167,17,83.83
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),April 2019,157,21,87.9
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),März 2019,216,23,84.26
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Februar 2019,208,21,87.98
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Januar 2019,139,23,89.21
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Dezember 2018,199,15,80.4
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),November 2018,197,33,81.73
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Oktober 2018,199,23,87.44
Nordrhein-Westfalen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Oktober 2014,175,35,84.57
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Oktober 2019,362,72,36.46
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",September 2019,293,69,49.83
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",August 2019,355,68,38.87
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Juli 2019,456,92,44.96
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Juni 2019,268,43,42.16
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Mai 2019,352,69,46.59
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",April 2019,316,59,45.57
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",März 2019,353,83,41.64
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Februar 2019,423,85,46.1
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Januar 2019,341,82,41.35
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Dezember 2018,287,63,45.64
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",November 2018,404,84,42.33
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Oktober 2018,341,80,42.52
Nordrhein-Westfalen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Oktober 2014,548,100,32.3
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Oktober 2019,1204,125,72.34
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",September 2019,1026,127,72.32
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",August 2019,1216,164,74.67
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Juli 2019,1458,170,73.87
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Juni 2019,912,106,76.86
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Mai 2019,1050,114,72.57
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",April 2019,1026,130,74.66
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",März 2019,1023,117,70.58
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Februar 2019,1063,122,74.41
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Januar 2019,972,120,72.74
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Dezember 2018,966,115,75.05
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",November 2018,1287,160,72.57
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Oktober 2018,1226,166,73
Nordrhein-Westfalen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Oktober 2014,1115,154,70.58
Nordrhein-Westfalen,Taschendiebstahl,Oktober 2019,2722,37,4.56
Nordrhein-Westfalen,Taschendiebstahl,September 2019,2056,25,4.96
Nordrhein-Westfalen,Taschendiebstahl,August 2019,2409,32,4.23
Nordrhein-Westfalen,Taschendiebstahl,Juli 2019,2831,28,4.77
Nordrhein-Westfalen,Taschendiebstahl,Juni 2019,1954,42,5.63
Nordrhein-Westfalen,Taschendiebstahl,Mai 2019,2497,49,5.65
Nordrhein-Westfalen,Taschendiebstahl,April 2019,2614,45,4.86
Nordrhein-Westfalen,Taschendiebstahl,März 2019,3121,48,5.09
Nordrhein-Westfalen,Taschendiebstahl,Februar 2019,2541,45,4.8
Nordrhein-Westfalen,Taschendiebstahl,Januar 2019,3034,43,4.32
Nordrhein-Westfalen,Taschendiebstahl,Dezember 2018,2693,42,4.38
Nordrhein-Westfalen,Taschendiebstahl,November 2018,2949,43,4.58
Nordrhein-Westfalen,Taschendiebstahl,Oktober 2018,2906,44,4.34
Nordrhein-Westfalen,Taschendiebstahl,Oktober 2014,4296,107,5.77
Nordrhein-Westfalen,Diebstahl von Fahrrädern,Oktober 2019,6664,185,9.74
Nordrhein-Westfalen,Diebstahl von Fahrrädern,September 2019,5837,169,10.84
Nordrhein-Westfalen,Diebstahl von Fahrrädern,August 2019,6808,188,7.77
Nordrhein-Westfalen,Diebstahl von Fahrrädern,Juli 2019,8276,211,7.02
Nordrhein-Westfalen,Diebstahl von Fahrrädern,Juni 2019,5714,124,6.28
Nordrhein-Westfalen,Diebstahl von Fahrrädern,Mai 2019,5595,143,7.02
Nordrhein-Westfalen,Diebstahl von Fahrrädern,April 2019,4699,121,6.6
Nordrhein-Westfalen,Diebstahl von Fahrrädern,März 2019,4308,112,7.92
Nordrhein-Westfalen,Diebstahl von Fahrrädern,Februar 2019,4122,99,7.74
Nordrhein-Westfalen,Diebstahl von Fahrrädern,Januar 2019,4046,119,6.45
Nordrhein-Westfalen,Diebstahl von Fahrrädern,Dezember 2018,4115,102,11.86
Nordrhein-Westfalen,Diebstahl von Fahrrädern,November 2018,6476,205,10.35
Nordrhein-Westfalen,Diebstahl von Fahrrädern,Oktober 2018,7609,203,7.73
Nordrhein-Westfalen,Diebstahl von Fahrrädern,Oktober 2014,9041,167,11.28
Nordrhein-Westfalen,Gewaltkriminalität,Oktober 2019,4056,613,75.59
Nordrhein-Westfalen,Gewaltkriminalität,September 2019,3413,530,76.18
Nordrhein-Westfalen,Gewaltkriminalität,August 2019,3861,647,76.04
Nordrhein-Westfalen,Gewaltkriminalität,Juli 2019,4697,696,75.9
Nordrhein-Westfalen,Gewaltkriminalität,Juni 2019,3111,509,77.02
Nordrhein-Westfalen,Gewaltkriminalität,Mai 2019,3702,586,75.09
Nordrhein-Westfalen,Gewaltkriminalität,April 2019,3363,534,74.55
Nordrhein-Westfalen,Gewaltkriminalität,März 2019,3649,566,74.54
Nordrhein-Westfalen,Gewaltkriminalität,Februar 2019,3876,618,75.39
Nordrhein-Westfalen,Gewaltkriminalität,Januar 2019,3430,577,73.7
Nordrhein-Westfalen,Gewaltkriminalität,Dezember 2018,3257,549,76.54
Nordrhein-Westfalen,Gewaltkriminalität,November 2018,4200,693,75.79
Nordrhein-Westfalen,Gewaltkriminalität,Oktober 2018,3825,633,75.71
Nordrhein-Westfalen,Gewaltkriminalität,Oktober 2014,3915,621,70.4
Aachen,Einbruchdelikte,Oktober 2019,249,93,13.25
Aachen,Einbruchdelikte,September 2019,213,85,15.02
Aachen,Einbruchdelikte,August 2019,175,70,14.29
Aachen,Einbruchdelikte,Juli 2019,197,70,21.32
Aachen,Einbruchdelikte,Juni 2019,247,94,9.31
Aachen,Einbruchdelikte,Mai 2019,359,125,8.91
Aachen,Einbruchdelikte,April 2019,203,76,12.81
Aachen,Einbruchdelikte,März 2019,267,113,7.49
Aachen,Einbruchdelikte,Februar 2019,280,128,11.79
Aachen,Einbruchdelikte,Januar 2019,345,123,6.96
Aachen,Einbruchdelikte,Dezember 2018,225,78,10.22
Aachen,Einbruchdelikte,November 2018,261,117,9.2
Aachen,Einbruchdelikte,Oktober 2018,266,106,4.51
Aachen,Einbruchdelikte,Oktober 2014,407,195,9.58
Aachen,Wohnungseinbruchdiebstahl,Oktober 2019,116,55,14.66
Aachen,Wohnungseinbruchdiebstahl,September 2019,78,41,25.64
Aachen,Wohnungseinbruchdiebstahl,August 2019,69,33,26.09
Aachen,Wohnungseinbruchdiebstahl,Juli 2019,63,23,31.75
Aachen,Wohnungseinbruchdiebstahl,Juni 2019,69,34,15.94
Aachen,Wohnungseinbruchdiebstahl,Mai 2019,149,55,6.71
Aachen,Wohnungseinbruchdiebstahl,April 2019,68,29,26.47
Aachen,Wohnungseinbruchdiebstahl,März 2019,71,33,16.9
Aachen,Wohnungseinbruchdiebstahl,Februar 2019,64,28,4.69
Aachen,Wohnungseinbruchdiebstahl,Januar 2019,118,44,5.08
Aachen,Wohnungseinbruchdiebstahl,Dezember 2018,129,50,10.08
Aachen,Wohnungseinbruchdiebstahl,November 2018,84,41,15.48
Aachen,Wohnungseinbruchdiebstahl,Oktober 2018,77,40,9.09
Aachen,Wohnungseinbruchdiebstahl,Oktober 2014,216,120,6.02
Aachen,Tageswohnungs-einbruchdiebstahl,Oktober 2019,43,17,20.93
Aachen,Tageswohnungs-einbruchdiebstahl,September 2019,33,14,21.21
Aachen,Tageswohnungs-einbruchdiebstahl,August 2019,29,11,17.24
Aachen,Tageswohnungs-einbruchdiebstahl,Juli 2019,26,9,30.77
Aachen,Tageswohnungs-einbruchdiebstahl,Juni 2019,14,9,7.14
Aachen,Tageswohnungs-einbruchdiebstahl,Mai 2019,48,16,8.33
Aachen,Tageswohnungs-einbruchdiebstahl,April 2019,25,8,24
Aachen,Tageswohnungs-einbruchdiebstahl,März 2019,25,11,28
Aachen,Tageswohnungs-einbruchdiebstahl,Februar 2019,19,5,0
Aachen,Tageswohnungs-einbruchdiebstahl,Januar 2019,40,13,2.5
Aachen,Tageswohnungs-einbruchdiebstahl,Dezember 2018,36,17,11.11
Aachen,Tageswohnungs-einbruchdiebstahl,November 2018,23,13,21.74
Aachen,Tageswohnungs-einbruchdiebstahl,Oktober 2018,26,14,3.85
Aachen,Tageswohnungs-einbruchdiebstahl,Oktober 2014,78,32,2.56
Aachen,Delikte der Straßenkriminalität,Oktober 2019,954,81,15.93
Aachen,Delikte der Straßenkriminalität,September 2019,744,56,16.4
Aachen,Delikte der Straßenkriminalität,August 2019,945,91,15.87
Aachen,Delikte der Straßenkriminalität,Juli 2019,1130,93,19.2
Aachen,Delikte der Straßenkriminalität,Juni 2019,847,69,12.04
Aachen,Delikte der Straßenkriminalität,Mai 2019,882,73,12.93
Aachen,Delikte der Straßenkriminalität,April 2019,903,55,14.06
Aachen,Delikte der Straßenkriminalität,März 2019,922,73,13.45
Aachen,Delikte der Straßenkriminalität,Februar 2019,1062,95,13.56
Aachen,Delikte der Straßenkriminalität,Januar 2019,1188,80,9.51
Aachen,Delikte der Straßenkriminalität,Dezember 2018,574,37,19.51
Aachen,Delikte der Straßenkriminalität,November 2018,1026,84,16.67
Aachen,Delikte der Straßenkriminalität,Oktober 2018,1081,79,11.38
Aachen,Delikte der Straßenkriminalität,Oktober 2014,1302,127,9.06
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Oktober 2019,10,,60
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),September 2019,6,1,66.67
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),August 2019,3,1,66.67
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Juli 2019,4,,100
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Juni 2019,7,1,85.71
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Mai 2019,6,1,83.33
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),April 2019,6,1,50
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),März 2019,6,1,83.33
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Februar 2019,5,2,80
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Januar 2019,1,,100
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Dezember 2018,4,1,25
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),November 2018,12,2,83.33
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Oktober 2018,7,2,85.71
Aachen,Vergewaltigung/sexuelle Nötigung/sexueller Übergriff (besonders schwere Fälle einschl. Todesfolge),Oktober 2014,6,1,66.67
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Oktober 2019,21,8,47.62
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",September 2019,15,3,66.67
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",August 2019,15,1,20
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Juli 2019,19,6,42.11
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Juni 2019,15,3,26.67
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Mai 2019,13,4,23.08
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",April 2019,12,1,50
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",März 2019,17,8,52.94
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Februar 2019,16,4,37.5
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Januar 2019,6,,66.67
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Dezember 2018,5,1,40
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",November 2018,24,8,41.67
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Oktober 2018,12,4,66.67
Aachen,"Raubüberfälle auf Straßen, Wegen oder Plätzen",Oktober 2014,30,10,23.33
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Oktober 2019,31,1,87.1
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",September 2019,39,4,74.36
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",August 2019,19,5,73.68
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Juli 2019,39,1,56.41
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Juni 2019,19,2,68.42
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Mai 2019,36,3,69.44
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",April 2019,25,1,88
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",März 2019,39,2,61.54
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Februar 2019,41,8,73.17
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Januar 2019,33,3,81.82
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Dezember 2018,40,4,82.5
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",November 2018,56,8,78.57
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Oktober 2018,40,2,75
Aachen,"Gefährliche und schwere Körperverletzung auf Straßen, Wegen oder Plätzen",Oktober 2014,38,1,71.05
Aachen,Taschendiebstahl,Oktober 2019,82,,0
Aachen,Taschendiebstahl,September 2019,40,,5
Aachen,Taschendiebstahl,August 2019,80,2,1.25
Aachen,Taschendiebstahl,Juli 2019,77,,5.19
Aachen,Taschendiebstahl,Juni 2019,47,,2.13
Aachen,Taschendiebstahl,Mai 2019,66,2,4.55
Aachen,Taschendiebstahl,April 2019,88,1,2.27
Aachen,Taschendiebstahl,März 2019,90,,4.44
Aachen,Taschendiebstahl,Februar 2019,98,1,0
Aachen,Taschendiebstahl,Januar 2019,145,,3.45
Aachen,Taschendiebstahl,Dezember 2018,66,2,3.03
Aachen,Taschendiebstahl,November 2018,86,2,3.49
Aachen,Taschendiebstahl,Oktober 2018,109,1,5.5
Aachen,Taschendiebstahl,Oktober 2014,110,,0.91
Aachen,Diebstahl von Fahrrädern,Oktober 2019,235,14,8.51
Aachen,Diebstahl von Fahrrädern,September 2019,151,6,4.64
Aachen,Diebstahl von Fahrrädern,August 2019,204,10,7.35
Aachen,Diebstahl von Fahrrädern,Juli 2019,196,9,11.22
Aachen,Diebstahl von Fahrrädern,Juni 2019,156,8,6.41
Aachen,Diebstahl von Fahrrädern,Mai 2019,207,7,4.83
Aachen,Diebstahl von Fahrrädern,April 2019,164,4,4.88
Aachen,Diebstahl von Fahrrädern,März 2019,153,10,7.84
Aachen,Diebstahl von Fahrrädern,Februar 2019,219,13,6.39
Aachen,Diebstahl von Fahrrädern,Januar 2019,347,16,1.15
Aachen,Diebstahl von Fahrrädern,Dezember 2018,114,8,12.28
Aachen,Diebstahl von Fahrrädern,November 2018,239,16,8.79
Aachen,Diebstahl von Fahrrädern,Oktober 2018,249,14,4.42
Aachen,Diebstahl von Fahrrädern,Oktober 2014,321,20,5.92
Aachen,Gewaltkriminalität,Oktober 2019,143,28,79.72
Aachen,Gewaltkriminalität,September 2019,142,24,75.35
Aachen,Gewaltkriminalität,August 2019,98,24,72.45
Aachen,Gewaltkriminalität,Juli 2019,159,25,75.47
Aachen,Gewaltkriminalität,Juni 2019,107,20,75.7
Aachen,Gewaltkriminalität,Mai 2019,139,27,69.78
Aachen,Gewaltkriminalität,April 2019,125,12,76
Aachen,Gewaltkriminalität,März 2019,135,25,70.37
Aachen,Gewaltkriminalität,Februar 2019,151,26,72.85
Aachen,Gewaltkriminalität,Januar 2019,132,17,80.3
Aachen,Gewaltkriminalität,Dezember 2018,123,24,72.36
Aachen,Gewaltkriminalität,November 2018,196,34,81.63
Aachen,Gewaltkriminalität,Oktober 2018,151,17,84.11
Aachen,Gewaltkriminalität,Oktober 2014,163,30,61.35
Bielefeld,Einbruchdelikte,Oktober 2019,63,24,33.33
Bielefeld,Einbruchdelikte,September 2019,61,24,9.84
Bielefeld,Einbruchdelikte,August 2019,62,27,59.68
Bielefeld,Einbruchdelikte,Juli 2019,65,35,24.62
Bielefeld,Einbruchdelikte,Juni 2019,68,23,1.47
Bielefeld,Einbruchdelikte,Mai 2019,87,34,25.29
Bielefeld,Einbruchdelikte,April 2019,102,44,18.63
Bielefeld,Einbruchdelikte,März 2019,99,35,34.34
Bielefeld,Einbruchdelikte,Februar 2019,170,82,3.53
Bielefeld,Einbruchdelikte,Januar 2019,104,51,7.69
Bielefeld,Einbruchdelikte,Dezember 2018,78,36,16.67
Bielefeld,Einbruchdelikte,November 2018,67,28,26.87
Bielefeld,Einbruchdelikte,Oktober 2018,102,44,29.41
Bielefeld,Einbruchdelikte,Oktober 2014,66,30,18.18
Bielefeld,Wohnungseinbruchdiebstahl,Oktober 2019,19,8,63.16
Bielefeld,Wohnungseinbruchdiebstahl,September 2019,25,15,12
Bielefeld,Wohnungseinbruchdiebstahl,August 2019,27,13,125.93
Bielefeld,Wohnungseinbruchdiebstahl,Juli 2019,22,15,4.55
Bielefeld,Wohnungseinbruchdiebstahl,Juni 2019,13,6,0
Bielefeld,Wohnungseinbruchdiebstahl,Mai 2019,52,28,38.46
Bielefeld,Wohnungseinbruchdiebstahl,April 2019,54,28,27.78
Bielefeld,Wohnungseinbruchdiebstahl,März 2019,29,14,27.59
Bielefeld,Wohnungseinbruchdiebstahl,Februar 2019,103,54,3.88
Bielefeld,Wohnungseinbruchdiebstahl,Januar 2019,67,35,1.49
Bielefeld,Wohnungseinbruchdiebstahl,Dezember 2018,25,14,4
Bielefeld,Wohnungseinbruchdiebstahl,November 2018,30,18,40
Bielefeld,Wohnungseinbruchdiebstahl,Oktober 2018,19,9,36.84
Bielefeld,Wohnungseinbruchdiebstahl,Oktober 2014,30,14,16.67
Bielefeld,Tageswohnungs-einbruchdiebstahl,Oktober 2019,9,1,100
Bielefeld,Tageswohnungs-einbruchdiebstahl,September 2019,7,5,0
Bielefeld,Tageswohnungs-einbruchdiebstahl,August 2019,12,6,133.33
Bielefeld,Tageswohnungs-einbruchdiebstahl,Juli 2019,5,2,0
Bielefeld,Tageswohnungs-einbruchdiebstahl,Juni 2019,4,1,0
Bielefeld,Tageswohnungs-einbruchdiebstahl,Mai 2019,16,7,68.75
Bielefeld,Tageswohnungs-einbruchdiebstahl,April 2019,26,13,34.62
